day,time,humid,rain?,temp,windpower
20,0,67,0,20.9,0.7
20,100,64,0,22.1,0.8
20,200,62,0,22.5,0.2
20,300,55,0,24.1,1.4
20,400,51,0,24.5,2.7
20,500,48,0,24.6,3.9
20,600,52,0,23.6,4
20,700,53,0,23.200001,3.3
20,800,58,0,22.5,3
20,900,63,0,21.700001,3.6
20,1000,66,0,21.4,2.9
20,1100,66,0,20.9,3
20,1200,68,0,20.4,2.5
20,1300,68,0,20,3.8
20,1400,72,0,19.200001,2.2
20,1500,74,0,18.700001,3
20,1600,71,0,19.1,3.3
20,1700,73,0,18.799999,2.4
20,1800,74,0,19,1.4
20,1900,76,1,19.1,0.4
20,2000,91,1,18.200001,1
20,2100,96,1,17.9,0.8
20,2200,96,0,18.4,0
20,2300,95,0,18.5,1.5
21,0,96,0,18.9,2.6
21,100,96,1,18.700001,2.5
21,200,97,1,18.4,2.1
21,300,97,1,17.299999,2.9
21,400,98,1,17.200001,2.4
21,500,98,1,17.299999,2.6
21,600,98,1,16.9,4.2
21,700,98,1,16.799999,3.5
21,800,98,1,16.799999,3.2
21,900,98,1,16.9,3
21,1000,98,1,16.9,3.3
21,1100,98,1,16.9,4.9
21,1200,97,1,17,6.7
21,1300,97,1,17,5.2
21,1400,97,1,17.1,5.7
21,1500,97,1,16.9,5.9
21,1600,97,1,16.799999,5.3
21,1700,97,1,16.799999,5.6
21,1800,97,1,16.799999,5.4
21,1900,98,1,16.9,4.4
21,2000,98,1,16.9,5.2
21,2100,97,1,17,5.3
21,2200,97,1,17,6.5
21,2300,98,1,17,9.4
22,0,98,1,17.4,9.7
22,100,97,1,17.6,8.3
22,200,95,0,18.299999,8.3
22,300,94,1,18.200001,8.4
22,400,95,1,18.1,7.9
22,500,86,0,19,11.8
22,600,80,0,19.6,9.8
22,700,78,0,19.6,7.4
22,800,70,0,20.299999,8.1
22,900,67,0,20.4,4.1
22,1000,65,0,20.4,4.7
22,1100,66,0,20.200001,4
22,1200,68,0,19.9,3.5
22,1300,69,0,19.700001,3.6
22,1400,72,0,19.200001,3
22,1500,75,0,18.700001,2.6
22,1600,82,0,18,1.4
22,1700,91,0,16.9,0.9
22,1800,95,0,16.6,0.5
22,1900,95,0,16.6,1
22,2000,93,0,16.6,0.9
22,2100,88,0,16.9,0.9
22,2200,80,0,18.700001,1
22,2300,68,0,20.200001,1.8
23,0,64,0,21.200001,1.2
23,100,57,0,22.1,1.1
23,200,57,0,22.5,1.4
23,300,56,0,23.700001,1.6
23,400,49,0,24.1,1.4
23,500,49,0,24.1,2.2
23,600,46,0,23.9,1.7
23,700,57,0,22.6,1.6
23,800,63,0,20.299999,1.6
23,900,71,0,19,1.1
23,1000,79,0,17.799999,0
23,1100,83,0,17.6,1.2
23,1200,82,0,17.4,1
23,1300,86,0,17,0.3
23,1400,90,0,16,0.5
23,1500,94,0,15.6,0.7
23,1600,95,0,15.2,0.8
23,1700,96,0,14.8,0.4
23,1800,97,0,14.6,0
23,1900,97,0,14.2,0.2
23,2000,97,0,13.9,0
23,2100,97,0,13.7,0.1
23,2200,94,0,15.9,0
23,2300,84,0,18,1
24,0,67,0,20.700001,0.9
24,100,54,0,22.1,1.9
24,200,49,0,23.5,1.8
24,300,45,0,24,2
24,400,46,0,24.299999,1.1
24,500,47,0,24.4,1.3
24,600,50,0,24.4,1.3
24,700,54,0,23.9,3.8
24,800,59,0,22.200001,1.2
24,900,69,0,20.299999,1.9
24,1000,74,0,19.6,0
24,1100,76,0,18.799999,0.6
24,1200,79,0,18.5,0.9
24,1300,82,0,17.700001,0.6
24,1400,89,0,17.200001,0
24,1500,94,0,16.200001,0.2
24,1600,94,0,15.9,0.7
24,1700,96,0,15.6,0
24,1800,97,0,15.1,0
24,1900,96,0,15.1,0.2
24,2000,96,0,14.9,0
24,2100,96,0,15.3,0
24,2200,91,0,16.799999,0
24,2300,82,0,18.700001,0.2
25,0,66,0,20.6,1.1
25,100,59,0,22.9,1.1
25,200,54,0,23.700001,1.4
25,300,30,0,24.9,1
25,400,42,0,24.9,1
25,500,38,0,24.799999,1.2
25,600,40,0,24.1,0.9
25,700,46,0,23,1.6
25,800,60,0,21.700001,2.2
25,900,67,0,20.9,1.9
25,1000,62,0,20.700001,1.1
25,1100,71,0,20.1,0.7
25,1200,70,0,20.1,0
25,1300,80,0,19.6,0.1
25,1400,79,0,18.700001,0
25,1500,83,0,18.6,1
25,1600,83,0,18.1,0.6
25,1700,86,0,18.1,1.4
25,1800,86,0,17.9,1.9
25,1900,88,0,17.700001,1.9
25,2000,92,0,17,2.5
25,2100,90,0,17.5,3.1
25,2200,79,0,19.6,2.9
25,2300,69,0,21.6,2
26,0,64,0,23.4,2.2
26,100,61,0,24,1.6
26,200,59,0,25.4,1.7
26,300,62,0,25.700001,0.7
26,400,59,0,26.299999,1.3
26,500,63,0,25.5,1.4
26,600,60,0,26.799999,1.5
26,700,66,0,25.1,1.3
26,800,67,0,24.6,1.4
26,900,78,0,23.299999,1.1
26,1000,83,0,22.799999,0.6
26,1100,84,0,22.4,1.1
26,1200,88,0,21.799999,0
26,1300,88,0,21.4,0.1
26,1400,89,0,21,0
26,1500,93,0,20.5,0.6
26,1600,93,0,20.200001,1.1
26,1700,95,0,19.6,0.9
26,1800,96,0,19.4,0.1
26,1900,95,0,19,1.7
26,2000,96,0,18.700001,1.2
26,2100,96,0,19,1.9
26,2200,87,0,20.6,1.7
26,2300,71,0,23.200001,0.6
